Col 1,UID,Name,Rec,DOB,Inf,Club,Based,Nat,Height,Weight,Age,Position,Transfer Value,Media Description,Rc Injury,Preferred Foot,Left Foot,Right Foot,Caps,AT Apps,AT Gls,AT Lge Apps,AT Lge Gls,Team,Yth Apps,Yth Gls,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat.1,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Vers,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Amb,Ada,Cons,Cont,Media Handling
834,2002076987,Pedro Reyes,- - -,25/7/2005 (16 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),MEX,"5'9""",61 kg,16,AM (LC),0$,Promising attacking midfielder,-,Either,Strong,Very Strong,0,-,-,-,-,,-,-,15,12,7,3,14,8,4,3,8,3,2,3,3,3,10,13,2,12,8,4,4,6,7,2,3,5,2,9,14,13,9,3,7,14,7,6,6,6,7,1,2,9,5,6,13,15,2,14,17,17,10,14,16,8,12,12,4,18,8,2,Level-headed
835,2002076986,Craig Hill,- - -,9/8/2006 (15 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),USA,"5'9""",60 kg,15,M (R),0$,Promising winger,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,13,9,7,2,14,13,6,7,7,2,1,1,7,6,7,12,2,10,9,5,6,9,6,3,8,5,2,5,10,9,6,1,9,3,8,11,6,7,8,1,4,8,6,7,12,10,1,13,11,12,10,8,12,10,7,11,6,11,14,9,Level-headed
836,2002076985,James Grant,- - -,4/2/2005 (17 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),USA,"5'8""",62 kg,17,M/AM (R),0$,Young winger,-,Right Only,Weak,Very Strong,0,-,-,-,-,,-,-,15,9,4,2,12,7,4,4,7,3,1,1,4,3,9,15,2,7,12,3,2,3,7,3,2,3,2,8,12,7,4,2,10,5,6,8,5,3,4,1,3,18,13,5,14,11,1,9,10,13,14,8,12,1,6,7,2,6,16,9,Level-headed
837,2002076984,Pham Thanh Long,- - -,7/9/2006 (15 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),VIE,"5'3""",55 kg,15,AM (L),0$,Promising winger,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,14,14,7,2,11,16,2,4,9,2,3,2,2,9,5,13,1,7,11,4,3,6,5,3,3,3,3,6,11,9,6,4,8,10,6,10,5,5,8,4,3,9,12,7,10,13,3,14,13,11,12,8,6,10,7,7,16,14,5,4,Media-friendly
838,2002076983,Mike Kendrick,- - -,31/10/2006 (15 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),USA,"5'9""",58 kg,15,AM (L),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,15,5,4,3,14,7,3,4,4,1,1,1,5,3,6,13,2,5,9,3,1,6,12,1,7,9,3,7,14,11,7,3,8,3,5,6,5,5,6,1,1,4,10,7,13,16,2,15,3,10,5,11,14,7,12,9,9,8,6,12,"Volatile, Media-friendly"
839,2002076982,Anthony Cruz,- - -,4/5/2005 (17 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),USA,"5'10""",72 kg,17,D (RC),0$,Enthusiastic center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,12,15,6,1,7,16,13,8,11,3,1,3,8,3,8,10,2,5,8,9,5,7,11,2,8,6,3,2,5,8,4,2,6,4,12,10,5,9,7,3,1,6,6,7,8,9,3,9,11,14,14,7,12,2,10,13,4,12,8,8,Level-headed
840,2002076981,Chris Gómez,- - -,31/12/2005 (16 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),USA,"6'2""",75 kg,16,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,9,6,3,6,8,14,9,9,2,2,1,10,8,9,7,1,6,13,8,4,7,8,4,14,10,2,3,6,7,5,3,6,17,9,7,5,10,10,1,2,16,7,9,9,9,3,9,13,11,16,12,13,3,13,9,14,5,9,9,Level-headed
841,2002076980,Joe Warren,- - -,16/10/2006 (15 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),USA,"5'11""",69 kg,15,D (RC),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,6,7,5,1,9,10,13,14,6,3,1,1,14,4,6,7,1,5,18,12,7,4,3,3,9,7,1,2,7,8,6,3,4,6,9,6,3,9,7,2,3,10,8,10,7,12,3,11,11,11,13,7,11,3,7,9,4,9,15,6,Level-headed
842,2002076979,Steve Johnson,- - -,30/9/2006 (15 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),USA,"5'6""",57 kg,15,D (R),0$,Young full back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,14,7,3,11,10,12,7,10,3,2,3,11,8,8,7,3,6,7,8,7,6,6,1,8,6,2,5,9,8,6,4,7,15,13,9,5,10,8,1,3,12,8,10,7,14,2,6,14,11,12,11,15,5,11,12,4,14,8,9,Media-friendly
843,2002076978,Christian Born,- - -,10/4/2005 (17 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),USA,"5'9""",67 kg,17,D (L),0$,Young full back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,7,11,5,3,10,16,13,7,7,2,1,3,8,2,11,7,1,5,13,7,13,3,6,2,5,5,1,4,4,9,4,1,6,11,15,8,5,7,7,1,2,16,13,11,6,5,3,8,7,11,10,6,12,10,4,13,7,8,7,18,Outspoken
844,2002076977,Riki Lukman,- - -,20/2/2005 (17 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),IDN,"6'0""",72 kg,17,GK,0$,Young goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,13,9,6,5,16,2,4,8,10,14,11,8,3,7,7,6,1,10,2,1,1,5,7,11,1,14,8,2,1,2,8,3,5,6,1,3,8,4,7,10,12,9,6,10,11,7,11,11,12,11,8,11,5,8,14,5,6,7,8,Level-headed
845,2002076976,Matt Morrell,- - -,18/4/2006 (16 years old),Ctr,FC Golden State,U.S.A. (Southwest Division),USA,"5'11""",67 kg,16,GK,0$,Promising goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,11,4,4,7,6,6,1,7,2,16,14,9,5,2,6,10,8,3,15,3,3,1,5,14,11,1,12,5,1,4,1,1,2,16,12,1,3,8,5,7,12,8,6,10,13,14,10,9,14,15,11,13,12,8,10,8,15,15,9,7,Level-headed
846,2002076975,Adrian Jereb,- - -,19/1/2006 (16 years old),Ama,BW Gottschee,U.S.A. (Northeast Division),USA,"5'7""",56 kg,16,M (L),0$,Young winger,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,13,8,6,1,9,11,7,4,9,2,1,1,5,6,7,13,1,9,11,7,2,5,10,3,7,5,1,6,9,7,6,2,7,13,10,6,7,7,7,1,2,9,4,7,9,10,3,12,5,5,8,14,11,4,18,8,10,7,7,16,"Outspoken, Volatile, Confrontational"
847,2002076974,Albeiro Murillo,- - -,20/10/2005 (16 years old),Ama,BW Gottschee,U.S.A. (Northeast Division),USA,"6'5""",78 kg,16,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,14,5,3,9,9,16,7,11,1,3,2,10,6,11,9,4,8,13,10,7,3,2,3,15,11,2,3,7,7,5,3,4,3,9,4,4,8,9,2,1,11,9,9,8,15,3,11,12,11,4,14,13,1,11,8,8,13,9,11,Media-friendly
848,2002076973,Manuel Jaramillo,- - -,19/1/2005 (17 years old),Ama,BW Gottschee,U.S.A. (Northeast Division),USA,"5'5""",57 kg,17,M (C),0$,Young midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,14,13,6,3,9,18,11,3,11,2,2,1,7,6,15,11,3,8,10,7,3,7,3,3,1,2,2,4,7,8,6,1,6,8,8,5,7,5,6,1,2,8,8,8,11,10,2,13,9,12,10,3,8,9,1,8,11,10,8,14,Media-friendly
849,2002076972,Tom Day,- - -,8/2/2006 (16 years old),Ama,BW Gottschee,U.S.A. (Northeast Division),USA,"5'10""",71 kg,16,ST (C),0$,Young striker,-,Either,Strong,Very Strong,0,-,-,-,-,,-,-,6,7,4,1,13,6,4,10,6,2,3,2,4,7,5,6,4,8,8,1,2,6,8,1,10,11,2,12,12,15,7,1,7,13,7,6,7,4,7,2,2,8,12,11,9,6,2,7,13,11,12,8,2,7,11,11,16,10,8,8,Media-friendly
850,2002076971,Tyrell Ginsberg,- - -,27/11/2005 (16 years old),Ama,BW Gottschee,U.S.A. (Northeast Division),USA,"5'7""",58 kg,16,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,12,7,2,1,11,7,3,3,11,2,2,2,3,5,4,10,3,11,12,2,3,4,10,2,7,6,2,6,11,10,9,2,8,13,5,4,7,4,9,3,3,7,10,8,7,10,4,8,15,10,16,10,14,11,12,14,12,6,12,8,Level-headed
851,2002076970,Malcolm Diaz,- - -,1/5/2006 (16 years old),Ama,BW Gottschee,U.S.A. (Northeast Division),USA,"5'11""",70 kg,16,ST (C),0$,Young striker,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,7,7,7,3,10,6,4,10,9,2,3,2,6,7,9,9,1,9,10,3,5,7,3,3,10,10,1,8,11,14,10,2,7,15,8,4,8,7,7,4,1,9,9,14,10,8,1,9,18,16,13,11,16,9,14,12,6,18,10,5,Level-headed
852,2002076969,Isaiah Grella,- - -,29/4/2006 (16 years old),Ama,BW Gottschee,U.S.A. (Northeast Division),USA,"5'6""",60 kg,16,DM,0$,Young midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,7,8,7,1,16,11,11,8,8,1,2,2,13,5,11,8,3,6,15,8,6,6,1,1,6,12,2,4,4,13,6,3,5,4,9,3,8,8,7,1,2,14,12,12,7,8,1,8,13,12,4,11,10,7,12,7,6,10,15,13,Media-friendly
853,2002076968,Derek Wright,- - -,16/8/2005 (16 years old),Ama,BW Gottschee,U.S.A. (Northeast Division),USA,"5'7""",58 kg,16,AM (RC),0$,Young attacking midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,7,10,9,3,11,15,6,5,5,3,1,3,6,7,11,6,1,8,16,3,4,8,6,3,8,4,3,4,12,14,9,3,9,10,9,7,5,5,9,3,3,3,13,8,8,6,2,7,9,12,10,3,13,6,6,8,7,5,5,19,Outspoken
854,2002076967,Tsoi Chi Fu,- - -,11/5/2005 (17 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),HKG,"5'8""",64 kg,17,M/AM (C),0$,Young midfielder,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,7,8,12,3,12,10,8,5,9,2,3,4,8,6,14,8,1,9,13,10,5,7,13,2,8,4,1,12,11,13,7,1,8,10,12,8,13,6,9,3,1,8,7,9,5,12,1,11,5,5,10,16,9,10,16,7,11,10,9,17,"Outspoken, Volatile, Confrontational"
855,2002076966,Matthew Knight,- - -,7/2/2006 (16 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"5'6""",56 kg,16,WB/AM (R),0$,Young winger,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,12,9,6,3,14,7,4,4,6,2,2,2,5,4,8,12,1,9,9,4,4,5,7,3,5,4,3,11,13,9,6,2,9,9,6,7,6,7,7,3,1,5,14,6,14,14,1,14,4,4,7,15,11,10,18,8,7,12,7,15,"Outspoken, Volatile, Confrontational"
856,2002076965,Enzo Behnke,- - -,9/9/2006 (15 years old),Ama,BW Gottschee,U.S.A. (Northeast Division),USA,"5'9""",57 kg,15,AM (R),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,11,13,6,1,10,9,5,3,8,3,2,3,1,2,9,13,3,9,14,3,3,5,2,3,8,2,2,7,13,11,5,1,9,6,5,6,7,3,6,2,4,8,10,6,10,11,1,10,11,12,13,7,9,5,8,10,4,15,6,8,Media-friendly
857,2002076964,Lukas Heindl,- - -,14/10/2005 (16 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"5'11""",66 kg,16,M/AM (L),0$,Young winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,15,12,5,1,10,9,6,7,8,2,3,1,3,5,8,11,1,10,14,1,4,5,13,3,9,5,3,10,9,6,10,3,8,7,7,9,5,5,6,2,1,7,14,8,9,10,4,17,8,11,10,5,10,12,1,12,6,5,10,19,Outspoken
858,2002076963,Rodrigue Delecroix,- - -,27/4/2006 (16 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"5'1""",55 kg,16,M (L),0$,Diminutive winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,12,15,6,3,16,14,7,1,11,2,3,3,6,4,7,9,2,8,9,8,3,7,13,1,3,6,2,7,7,11,5,3,7,12,10,8,8,10,8,1,2,7,10,7,10,10,3,10,16,18,17,15,13,3,15,14,13,6,14,7,Unflappable
859,2002076962,Tim Flores,- - -,18/5/2006 (16 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"6'0""",72 kg,16,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,7,14,2,1,10,10,13,9,10,3,3,1,9,7,7,8,3,8,13,8,5,3,6,2,12,11,2,3,5,6,6,2,5,16,9,5,3,10,8,3,3,17,15,9,9,11,2,11,12,11,12,10,12,9,13,10,11,9,5,9,Media-friendly
860,2002076961,Tim Contreras,- - -,29/12/2004 (17 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"6'2""",78 kg,17,D (RC),0$,Young center back,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,6,13,5,1,12,10,14,7,8,3,3,3,9,4,7,7,3,4,8,8,6,3,7,3,15,7,1,2,4,7,5,1,3,4,11,8,4,6,7,2,3,11,11,10,6,8,2,10,15,11,12,8,13,2,7,20,5,8,8,10,Media-friendly
861,2002076960,Mark Torres,- - -,31/5/2005 (17 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"5'9""",65 kg,17,D (RC),0$,Young center back,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,6,12,3,2,8,7,12,6,9,4,1,3,11,2,8,8,2,3,16,7,2,4,10,2,9,7,2,5,4,7,4,2,3,3,13,8,5,6,7,2,4,14,8,11,8,11,1,10,12,11,2,12,11,7,12,14,8,8,8,12,Media-friendly
862,2002076959,Armando Greenspan,- - -,2/5/2006 (16 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"5'6""",56 kg,16,D (RL),0$,Young full back,-,Either,Strong,Very Strong,0,-,-,-,-,,-,-,9,13,5,3,14,11,9,4,8,2,3,2,8,2,8,7,1,4,17,7,5,4,7,1,6,7,3,3,7,9,5,3,5,13,12,7,4,7,6,3,1,15,14,10,9,16,1,15,10,13,13,12,10,5,12,10,13,8,10,8,Media-friendly
863,2002076958,Ben Cowdry,- - -,15/3/2005 (17 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"5'11""",70 kg,17,D (RL),0$,Young full back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,10,14,5,3,11,11,9,5,9,3,3,2,9,3,7,7,2,7,10,6,6,5,8,4,12,7,2,2,11,7,4,3,6,16,13,8,5,7,9,3,3,12,10,8,8,7,2,12,16,16,11,12,14,1,13,6,12,14,8,3,Level-headed
864,2002076957,Maurizio Bolzoni,- - -,3/4/2006 (16 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"6'5""",76 kg,16,GK,0$,Young goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,6,5,3,8,5,7,2,4,3,10,17,15,12,3,5,3,7,1,16,2,1,1,11,7,13,1,9,6,3,3,2,11,2,9,12,1,4,10,5,12,11,5,7,10,8,10,10,8,7,11,12,3,7,10,4,9,8,5,8,17,Outspoken
865,2002076956,Miguel Espinosa,- - -,25/6/2006 (16 years old),Ctr,BW Gottschee,U.S.A. (Northeast Division),USA,"6'4""",77 kg,16,GK,0$,Young goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,11,8,5,7,7,8,3,4,6,11,11,10,11,1,5,6,10,1,6,2,3,1,5,11,13,1,12,6,2,8,2,1,1,6,6,2,3,9,5,9,11,8,5,7,8,9,13,7,11,11,13,12,15,3,13,8,4,19,8,7,Level-headed
866,2002076955,Márcio,- - -,4/1/2005 (17 years old),Ama,Beachside SC,U.S.A. (Northeast Division),USA,"6'2""",77 kg,17,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,9,5,3,8,9,16,9,8,3,2,2,8,7,9,10,3,8,17,10,6,4,6,1,14,11,3,2,4,8,7,3,6,12,9,7,5,11,10,1,4,14,14,10,8,13,2,16,10,9,12,11,10,9,11,11,10,9,11,7,Media-friendly
867,2002076954,Charlie Alleyne,- - -,8/1/2005 (17 years old),Ama,Beachside SC,U.S.A. (Northeast Division),USA,"5'11""",73 kg,17,M (C),0$,Young midfielder,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,7,11,7,2,9,16,9,9,12,3,1,2,8,5,13,8,4,7,13,8,6,7,4,1,10,7,3,8,6,12,6,3,8,10,9,6,11,8,9,3,3,7,13,7,9,9,2,7,17,19,9,18,12,13,17,16,11,12,7,4,Unflappable
868,2002076953,Antonio Padelford,- - -,14/5/2006 (16 years old),Ama,Beachside SC,U.S.A. (Northeast Division),USA,"5'5""",55 kg,16,AM (R),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,13,5,6,2,13,6,3,1,5,3,3,2,4,3,8,14,1,6,14,3,3,5,13,3,5,3,1,10,13,14,7,1,13,9,6,9,7,5,6,1,3,9,9,5,12,12,4,11,6,13,10,4,11,8,2,5,9,13,5,15,"Outspoken, Volatile"
869,2002076952,Mauricio Sánchez,- - -,21/12/2006 (15 years old),Ama,Beachside SC,U.S.A. (Northeast Division),USA,"5'9""",60 kg,15,"AM (L), ST (C)",0$,Promising striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,14,11,8,3,15,16,4,7,6,1,2,2,5,10,11,12,3,9,13,6,7,8,9,3,7,7,1,14,13,10,13,2,15,3,9,10,13,8,8,4,3,5,14,9,14,13,2,9,11,13,12,7,13,4,9,14,3,5,9,7,Level-headed
870,2002076951,Jeffrey Castellanos,- - -,25/8/2006 (15 years old),Ama,Beachside SC,U.S.A. (Northeast Division),USA,"5'11""",68 kg,15,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,7,6,6,3,9,9,2,12,8,3,2,2,7,6,7,8,1,9,12,5,4,7,3,3,11,10,1,5,7,11,10,3,8,14,11,7,4,7,7,3,3,11,13,11,8,10,1,10,15,15,17,16,8,9,17,8,12,6,8,8,"Evasive, Unflappable"
871,2002076950,Tommy Serrano,- - -,27/12/2004 (17 years old),Ama,Beachside SC,U.S.A. (Northeast Division),USA,"6'0""",72 kg,17,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,12,9,3,2,14,14,1,5,9,1,1,1,2,8,5,8,3,11,11,3,4,5,8,3,11,6,3,12,13,9,14,4,5,3,8,6,9,5,8,3,2,8,12,6,9,9,2,6,12,11,12,9,16,3,7,7,2,8,14,9,Media-friendly
872,2002076949,Xavier Esquivel,- - -,12/6/2006 (16 years old),Ama,Beachside SC,U.S.A. (Northeast Division),MEX,"5'6""",57 kg,16,DM,0$,Promising midfielder,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,8,15,8,3,12,12,15,6,10,2,1,1,11,5,12,12,3,6,13,9,2,7,13,3,3,3,1,10,2,13,4,1,3,6,8,5,6,8,7,2,2,8,12,9,11,19,1,13,12,12,14,8,12,4,9,9,5,12,7,8,Level-headed
873,2002076948,Joshua Craft,- - -,19/6/2006 (16 years old),Ama,Beachside SC,U.S.A. (Northeast Division),USA,"5'10""",67 kg,16,DM,0$,Young midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,7,9,7,1,14,10,12,6,7,3,3,3,13,6,8,7,1,6,12,10,8,8,5,3,9,15,1,6,3,9,5,2,6,5,13,6,7,9,10,2,2,9,7,10,6,5,2,7,12,11,13,8,13,8,9,11,3,8,6,8,Level-headed
874,2002076947,Jordan Fisher,- - -,13/9/2006 (15 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"5'10""",64 kg,15,"AM (C), ST (C)",0$,Promising attacking midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,8,15,11,1,16,12,6,8,10,2,3,2,8,6,8,9,3,11,11,6,6,8,7,3,9,9,1,8,14,13,8,1,10,5,10,6,7,7,11,1,1,5,8,8,12,8,2,8,2,7,10,14,12,7,12,5,6,6,16,7,"Media-friendly, Short-tempered, Confrontational"
875,2002076946,Jose Antonio Calderón,- - -,9/1/2006 (16 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"6'0""",66 kg,16,M/AM (R),0$,Young winger,-,Either,Strong,Very Strong,0,-,-,-,-,,-,-,12,9,8,3,14,9,4,3,6,2,3,2,5,5,7,10,4,9,16,4,5,5,11,3,10,4,3,12,13,12,6,1,8,14,6,10,8,5,6,1,3,3,13,6,10,17,2,10,17,13,17,6,10,7,7,11,12,17,7,11,Media-friendly
876,2002076945,Joel Attinella,- - -,23/11/2005 (16 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"5'9""",61 kg,16,M/AM (R),0$,Young winger,-,Either,Very Strong,Strong,0,-,-,-,-,,-,-,13,8,9,1,13,13,5,4,6,2,2,3,2,7,12,14,1,12,12,5,1,8,13,1,9,5,1,9,13,8,6,2,12,9,9,8,7,3,6,2,1,4,7,7,10,8,4,12,13,13,13,7,10,12,10,9,13,6,9,8,Media-friendly
877,2002076944,Clément Loiseau,- - -,27/2/2005 (17 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"6'2""",75 kg,17,M (RL),0$,Young winger,-,Left Only,Very Strong,Weak,0,-,-,-,-,,-,-,10,9,7,3,8,14,6,5,7,1,2,2,5,3,8,7,2,12,15,3,3,6,15,1,14,6,1,5,7,13,7,1,7,12,7,6,4,7,7,1,3,8,9,6,9,12,3,8,8,7,10,13,13,7,12,10,10,6,6,11,Media-friendly
878,2002076943,Ian Walker,- - -,14/5/2006 (16 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"5'8""",59 kg,16,M (L),0$,Young winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,15,8,7,2,11,5,5,5,7,2,2,3,5,4,8,13,2,9,17,5,5,5,9,1,6,2,3,6,5,6,8,2,10,13,7,6,6,5,8,2,2,7,11,6,14,8,3,11,9,10,9,12,9,6,13,10,10,12,8,10,Media-friendly
879,2002076942,Laron McGraham,- - -,9/11/2006 (15 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"6'1""",69 kg,15,D (C),0$,Young center back,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,11,11,6,1,7,16,10,8,8,2,1,2,9,5,7,10,2,6,15,9,4,6,7,3,14,8,4,5,3,8,4,3,6,17,9,5,3,7,8,3,2,9,15,8,10,7,1,7,13,13,12,15,12,9,12,9,16,5,7,6,Level-headed
880,2002076941,Miguel Ángel Ramirez,- - -,11/6/2006 (16 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"6'1""",73 kg,16,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,9,4,3,9,10,12,7,10,3,2,3,9,6,7,8,1,4,9,9,5,5,2,1,13,9,1,7,6,8,4,1,6,12,11,6,5,10,10,2,4,18,8,10,9,11,2,9,16,17,13,13,12,2,12,13,11,15,7,6,Level-headed
881,2002076940,Ruairi Lawless,- - -,11/6/2005 (17 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"6'0""",78 kg,17,D (LC),0$,Young center back,-,Left,Very Strong,Weak,0,-,-,-,-,,-,-,8,14,5,1,7,12,14,12,9,1,1,2,11,5,5,8,2,4,10,10,5,6,8,2,9,8,1,2,2,10,5,4,5,12,7,7,5,10,8,2,1,7,15,11,9,14,3,8,14,14,10,12,12,5,13,11,10,14,7,9,Level-headed
882,2002076939,Eric Márquez,- - -,28/8/2005 (16 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"5'9""",63 kg,16,D (R),0$,Young full back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,11,9,6,3,12,10,12,6,9,2,3,3,9,7,10,9,1,7,13,9,6,6,11,1,12,7,1,4,7,9,5,3,6,14,13,12,6,8,9,2,1,7,14,13,11,13,3,13,12,11,11,12,16,3,14,12,4,11,5,6,Media-friendly
883,2002076938,Ian Curtin,- - -,23/8/2005 (16 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"5'11""",65 kg,16,D (RL),0$,Young full back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,13,13,6,3,11,16,9,5,12,1,3,1,6,4,8,12,3,8,13,8,3,4,4,3,8,6,1,2,2,6,1,2,7,8,9,8,5,9,7,2,2,15,5,7,11,13,1,13,8,11,11,7,9,7,4,8,9,6,15,17,Outspoken
884,2002076937,Patrick Giles,- - -,22/7/2006 (15 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"5'9""",58 kg,15,GK,0$,Promising goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,7,6,7,7,6,11,1,3,2,11,11,8,8,2,7,8,8,1,15,2,2,2,9,10,5,1,14,6,3,2,2,5,1,3,12,2,2,11,3,11,10,11,5,7,13,10,7,9,11,11,12,5,10,2,7,8,4,8,7,8,Media-friendly
885,2002076936,José Castro,- - -,11/1/2006 (16 years old),Ctr,Beachside SC,U.S.A. (Northeast Division),USA,"6'1""",73 kg,16,GK,0$,Young goalkeeper,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,7,7,3,6,5,11,3,8,2,16,14,10,12,3,5,5,10,3,15,3,3,3,14,11,11,1,11,7,1,2,1,8,2,17,12,3,3,5,4,9,11,15,7,9,12,15,7,13,5,3,13,17,8,3,17,8,12,13,15,14,"Volatile, Media-friendly, Confrontational"
886,2002076935,Chad Washington,- - -,24/1/2006 (16 years old),Ama,Bethesda-Olney,U.S.A. (Mid-Atlantic Division),USA,"5'10""",67 kg,16,M (C),0$,Young midfielder,-,Left,Very Strong,Weak,0,-,-,-,-,,-,-,14,9,7,1,9,8,10,7,13,2,3,2,8,6,14,11,2,7,12,8,2,5,14,3,6,5,3,10,8,6,6,3,7,3,8,6,8,5,7,1,1,7,7,8,10,10,3,7,17,17,12,15,12,5,17,7,3,12,13,13,Unflappable
887,2002076934,Pablo Jiménez,- - -,30/3/2006 (16 years old),Ama,Bethesda-Olney,U.S.A. (Mid-Atlantic Division),MEX,"5'8""",60 kg,16,D (L),0$,Young full back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,9,12,7,3,9,17,11,4,9,1,2,1,10,3,9,10,1,4,12,7,4,5,12,3,9,7,1,6,5,9,6,3,3,4,12,7,10,8,8,3,2,9,8,7,9,8,2,11,9,10,10,7,11,3,6,11,4,10,6,8,Media-friendly
